,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
184,52.508309999999994,13.2947,2.0,desserts,131,271,8,0,1,5,3,22,6,135,7,2,2,135,3,10,4,8004
185,52.50731999999999,13.29865,2.0,vietnamese,221,488,14,0,3,6,5,28,7,230,7,3,2,230,7,20,9,7770
186,52.5021160894522,13.3284872202378,2.0,german,214,479,2,9,6,3,2,15,2,216,24,2,5,216,0,16,2,6041
187,52.5001187,13.3270644,2.0,cafes,219,474,2,13,4,3,2,19,2,226,23,2,5,226,2,19,7,6223
188,52.4892,13.3406,2.0,vietnamese,95,218,8,4,1,2,2,8,4,101,6,0,0,101,0,4,6,6110
189,52.50773,13.30981,1.0,icecream,300,650,17,7,3,4,2,49,9,316,14,4,6,316,10,33,16,7025
190,52.5069208179735,13.3077454294984,1.0,foodstands,341,719,21,7,3,9,2,55,10,358,15,3,8,358,9,33,17,7184
191,52.4729699,13.299149900000002,2.0,german,4,10,0,0,0,0,0,0,0,5,0,1,0,5,0,1,1,9438
192,52.5254,13.3101,1.0,poolhalls,24,52,1,1,1,1,1,2,0,26,0,0,1,26,0,2,2,6755
193,52.50731999999999,13.29865,2.0,vietnamese,221,488,14,0,3,6,5,28,7,230,7,3,2,230,7,20,9,7770
194,52.492937,13.329328,2.0,indpak,146,314,8,11,2,0,4,16,3,155,13,3,1,155,0,11,9,6480
195,52.4471397,13.3416204,1.0,halal,9,22,0,0,0,1,1,1,1,11,0,0,1,11,0,1,2,9763
196,52.498886,13.342039000000002,2.0,beer_and_wine,157,337,5,1,5,2,5,18,4,168,17,6,4,168,1,25,11,5397
197,52.4664086,13.3277316,2.0,spanish,98,211,5,6,1,8,1,9,2,105,2,2,1,105,3,7,7,8521
198,52.4614540953655,13.324175997066,1.0,bakeries,96,213,0,8,4,3,2,6,5,103,2,2,1,103,0,8,7,9099
199,52.50335,13.3055299,2.0,georgian,379,805,18,5,4,9,1,59,10,402,15,3,9,402,7,37,23,7445
200,52.46702,13.33871,2.0,pizza,81,190,5,4,0,10,2,8,2,85,2,1,0,85,3,5,4,8000
201,52.505246,13.3283,2.0,italian,163,356,1,7,6,3,0,14,1,164,24,0,6,164,2,15,1,5918
202,52.462990000000005,13.319170000000002,2.0,italian,73,164,1,6,3,1,0,3,5,79,2,1,1,79,0,5,6,9191
203,52.5193,13.3183,3.0,french,13,28,0,1,0,0,0,1,0,14,0,0,0,14,0,0,1,6224
204,52.50379,13.3137899,2.0,cafes,343,749,18,10,4,6,0,55,9,365,15,1,6,365,8,32,22,6899
205,52.50209,13.32549,3.0,german,250,557,2,15,4,3,0,32,2,255,24,0,9,255,3,25,5,6229
206,52.511419999999994,13.30856,1.0,argentine,188,396,7,3,2,4,2,23,9,197,5,4,0,197,7,15,9,7011
207,52.472229000000006,13.3350601,2.0,icecream,82,172,5,4,0,9,1,11,2,84,0,2,0,84,3,5,2,7706
208,52.5039299,13.316939999999999,2.0,italian,317,772,18,13,4,7,0,49,6,337,18,1,7,337,8,28,20,6692
209,52.4600593950453,13.325230814516498,1.0,sushi,88,202,0,5,3,4,2,5,6,96,2,2,1,96,0,7,8,9174
210,52.461263,13.318182,2.0,irish_pubs,66,147,1,6,2,2,1,3,5,73,1,1,1,73,0,5,7,9379
211,52.5084,13.3093,1.0,cafes,274,592,18,3,1,4,2,43,8,287,13,4,6,287,10,29,13,7039
212,52.48499399999999,13.344039000000002,1.0,german,62,136,6,4,2,3,3,4,1,66,2,0,0,66,0,1,4,6252
213,52.4583,13.3275,1.0,bakeries,80,181,0,6,3,4,2,4,6,87,0,1,1,87,0,6,7,9234
214,52.4869,13.3228,1.0,burgers,108,234,8,4,4,8,1,13,1,116,5,5,0,116,1,9,8,7224
215,52.50492489999999,13.299574800000002,2.0,cafes,292,636,19,5,2,9,4,39,9,305,10,3,2,305,7,22,13,7779
