,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
775,52.498985,13.342720000000002,2.0,gaybars,70,1,1,0,0,3,2,6,2,71,6,3,2,71,1,9,5,5352
776,52.50062,13.310529999999998,3.0,lounges,451,5,17,18,8,10,4,49,3,456,19,2,11,456,4,47,24,7230
777,52.438986,13.316417000000001,1.0,restaurants,13,0,1,0,0,1,1,1,0,13,1,2,0,13,0,3,0,11423
778,52.493,13.3228,2.0,russian,169,1,6,6,1,1,5,13,2,170,6,2,1,170,5,14,12,6854
779,52.499577,13.305757,3.0,steak,363,8,13,14,7,9,1,42,3,371,17,4,14,371,0,43,21,7574
780,52.5170084,13.306206099999999,2.0,german,66,3,3,3,4,1,1,10,2,69,3,0,0,69,1,3,2,7067
781,52.46535200646339,13.3307955092621,2.0,german,110,3,2,5,1,6,2,11,4,113,3,3,1,113,3,12,10,8478
782,52.49841,13.31835,2.0,restaurants,287,4,6,12,6,6,0,39,1,291,13,0,7,291,3,28,17,6839
783,52.4623143704645,13.324212391248901,1.0,panasian,123,4,0,7,4,3,4,10,8,127,2,4,1,127,1,11,12,9024
784,52.506905,13.307145000000002,2.0,hotdogs,438,13,29,11,4,15,6,51,10,451,16,3,10,451,9,35,20,7224
785,52.50629,13.311274,1.0,mediterranean,447,3,19,13,4,12,6,47,10,450,21,3,10,450,7,39,16,6974
786,52.503009999999996,13.307529999999998,1.0,vietnamese,559,22,22,16,7,14,5,73,9,581,26,6,13,581,8,53,27,7329
787,52.47223,13.33506,2.0,breakfast_brunch,80,0,5,2,1,5,2,10,2,80,4,2,0,80,2,8,4,7706
788,52.45662584950011,13.3387396206541,1.0,panasian,27,0,0,0,2,1,2,3,1,27,1,1,1,27,0,2,2,8950
789,52.48856,13.30081,2.0,kebab,22,1,2,0,1,5,1,2,1,23,3,2,0,23,0,2,0,8397
790,52.5193,13.3183,3.0,french,15,0,0,0,0,0,0,1,0,15,0,0,0,15,0,0,0,6224
791,52.506804,13.309688000000001,2.0,burgers,439,9,20,13,4,14,6,51,10,448,19,3,10,448,9,38,17,7061
792,52.46069,13.324710000000001,3.0,bakeries,123,10,0,6,4,3,4,12,8,133,2,4,1,133,1,13,10,9141
793,52.5116459130682,13.3039833605289,2.0,coffee,265,7,16,3,6,7,6,28,12,272,12,3,4,272,8,18,9,7310
794,52.49977,13.32332,3.0,pizza,216,5,6,12,1,5,0,33,1,221,13,0,4,221,4,20,9,6469
795,52.50634,13.30962,2.0,vietnamese,455,19,19,13,4,14,6,53,10,474,22,3,10,474,9,41,20,7080
796,52.488317,13.335954999999998,4.0,tobaccoshops,70,0,6,4,2,1,2,9,1,70,3,0,0,70,0,3,5,6416
797,52.506588,13.294629,1.0,kebab,174,2,11,0,4,6,2,25,7,176,7,1,5,176,3,11,3,8054
798,52.48816,13.337829999999999,1.0,greek,59,1,5,3,1,2,2,8,1,60,3,0,0,60,0,2,3,6328
799,52.503279500000005,13.313448600000001,3.0,bakeries,473,22,24,20,8,12,4,57,6,495,19,4,8,495,9,47,22,6940
